age,income,economic_status,employment,car_avail,bike_avail,pt_abo_avail,dist_group,main_mode,share
,1500 - 1750,,,,,,20000+,ride,0.006097120205950533
,1500 - 1750,,,,,,20000+,walk,5.4165724980842694e-05
,1750 - 2000,,,,,,0 - 1000,bike,0.041485790191839074
,1750 - 2000,,,,,,0 - 1000,car,0.01015479901878027
,1750 - 2000,,,,,,0 - 1000,pt,0.003919970812382807
,1750 - 2000,,,,,,0 - 1000,ride,0.004427359108153711
,1750 - 2000,,,,,,0 - 1000,walk,0.2429115078213197
,1750 - 2000,,,,,,1000 - 2000,bike,0.05034280839104602
,1750 - 2000,,,,,,1000 - 2000,car,0.026093316441133264
,1750 - 2000,,,,,,1000 - 2000,pt,0.02123530830968721
,1750 - 2000,,,,,,1000 - 2000,ride,0.010419506394865791
,1750 - 2000,,,,,,1000 - 2000,walk,0.05718998954387174
,1750 - 2000,,,,,,2000 - 5000,bike,0.05312647014027602
,1750 - 2000,,,,,,2000 - 5000,car,0.04940439141111806
,1750 - 2000,,,,,,2000 - 5000,pt,0.06879690743681996
,1750 - 2000,,,,,,2000 - 5000,ride,0.0164327347354316
,1750 - 2000,,,,,,2000 - 5000,walk,0.014352199880437575
,1750 - 2000,,,,,,5000 - 10000,bike,0.025193273148889698
,1750 - 2000,,,,,,5000 - 10000,car,0.05066213963910412
,1750 - 2000,,,,,,5000 - 10000,pt,0.08300410318625427
,1750 - 2000,,,,,,5000 - 10000,ride,0.013624736515264331
,1750 - 2000,,,,,,5000 - 10000,walk,0.001227390558945254
,1750 - 2000,,,,,,10000 - 20000,bike,0.006773627744897088
,1750 - 2000,,,,,,10000 - 20000,car,0.03727190732682929
,1750 - 2000,,,,,,10000 - 20000,pt,0.06012545834782699
,1750 - 2000,,,,,,10000 - 20000,ride,0.0064744768224616455
,1750 - 2000,,,,,,10000 - 20000,walk,0.000508420055772186
